title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
Vilniaus Rytas rungtynių abonementas Twinsbet arenoje,Twinsbet Arena,Vilnius,2025-10-07,20:00,https://www.bilietai.lt/eng/tickets/sportas/krepsinis/vilniaus-rytas-rungtyniu-abonementas-twinsbet-arenoje-100820/,,2026-02-16T05:41:02Z
AIDAS 2026,Medeina - Gastrobaras,Vilnius,2026-01-09,16:00,https://www.bilietai.lt/eng/tickets/koncertai/aidas-2026-101723/,,2026-02-16T05:41:02Z
Koncertas Lietuvos valstybės atkūrimo dienai ''ŠVENČIU IR DAINUOJU LIETUVĄ'',Klaipėdos Švyturio arena,Klaipėda,2026-02-16,17:00,https://www.bilietai.lt/eng/tickets/koncertai/koncertas-lietuvos-valstybes-atkurimo-dienai-svenciu-ir-dainuoju-lietuva-492740/,https://store.bilietai.lt/public/?concert=492740&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
The Grand Stars Orchestra «HOLLYWOOD MUSIC EXPERIENCE»,Kultūros centras Žvejų rūmai,Klaipėda,2026-02-16,19:00,https://www.bilietai.lt/eng/tickets/koncertai/vilnius-the-grand-stars-orchestra-hollywood-music-experience-476238/,https://store.bilietai.lt/public/?concert=476238&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Piano & A Microphone,Lukiškių kalėjimas 2.0,Vilnius,2026-02-19,20:00,https://www.bilietai.lt/eng/tickets/koncertai/piano--a-microphone-102195/,,2026-02-16T05:41:02Z
Metų muzikos apdovanojimai MAMA 2025,Kauno Žalgirio arena,Kaunas,2026-02-20,19:00,https://www.bilietai.lt/eng/tickets/koncertai/metu-muzikos-apdovanojimai-mama-2025-100439/,,2026-02-16T05:41:02Z
LVSO VAIKAMS | ''LAUKINĖ SIMFONIJA'',LVSO koncertų salė,Vilnius,2026-02-21,12:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso-vaikams--laukine-simfonija-488785/,https://store.bilietai.lt/public/?concert=488785&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Citadele KMT finalo ketvertas,Šiaulių arena,Šiauliai,2026-02-21,15:00,https://www.bilietai.lt/eng/tickets/sportas/citadele-kmt-finalo-ketvertas-101739/,,2026-02-16T05:41:02Z
ELECTRO DELUXE ir KAUNO BIGBENDAS,Twinsbet Arena,Vilnius,2026-02-21,19:00,https://www.bilietai.lt/eng/tickets/koncertai/electro-deluxe-ir-kauno-bigbendas-489073/,https://store.bilietai.lt/public/?concert=489073&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Už grotų: Micro One - Lukiškių kalėjimas 2.0,Lukiškių kalėjimas 2.0,Vilnius,2026-02-21,21:00,https://www.bilietai.lt/eng/tickets/koncertai/uz-grotu-micro-one-lukiskiu-kalejimas-20-488673/,https://store.bilietai.lt/public/?concert=488673&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
MURMURS - tarptautinis muzikos festivalis,Kablys,Vilnius,2026-02-26,19:00,https://www.bilietai.lt/eng/tickets/koncertai/murmurs-tarptautinis-muzikos-festivalis-102337/,,2026-02-16T05:41:02Z
The Gentlemen | Šiauliai,Šiaulių arena,Šiauliai,2026-02-26,19:00,https://www.bilietai.lt/eng/tickets/koncertai/the-gentlemen-slovakija-erotinis-vyru-sou-490393/,https://store.bilietai.lt/public/?concert=490393&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
EUROVIZIJA.LT FINALAS gyvai,Twinsbet Arena,Vilnius,2026-02-27,19:00,https://www.bilietai.lt/eng/tickets/koncertai/eurovizijalt-finalas-gyvai-479832/,https://store.bilietai.lt/public/?concert=479832&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
LVSO | BOMSORI KIM GRIEŽIA F. MEDELSSOHNĄ,LVSO koncertų salė,Vilnius,2026-02-27,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso--bomsori-kim-griezia-f-medelssohna-488815/,https://store.bilietai.lt/public/?concert=488815&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Kino Muzikos koncertas žvakių šviesoje. Styginių Kvartetas,Lukiškių kalėjimas 2.0,Vilnius,2026-02-28,18:00,https://www.bilietai.lt/eng/tickets/koncertai/kino-muzikos-koncertas-zvakiu-sviesoje-styginiu-kvartetas-493186/,https://store.bilietai.lt/public/?concert=493186&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Natalija Bunkė 360 Arena Show,Kauno Žalgirio arena,Kaunas,2026-02-28,20:00,https://www.bilietai.lt/eng/tickets/koncertai/natalija-bunke-360-arena-show-480777/,https://store.bilietai.lt/public/?concert=480777&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
LVSO | DALIA KUZNECOVAITĖ GRIEŽIA J. BRAHMSĄ,LVSO koncertų salė,Vilnius,2026-03-06,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso--dalia-kuznecovaite-griezia-j-brahmsa-488844/,https://store.bilietai.lt/public/?concert=488844&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
Acoustic: Mėlyna - Lukiškių kalėjimas 2.0,Lukiškių kalėjimas 2.0,Vilnius,2026-03-06,20:00,https://www.bilietai.lt/eng/tickets/koncertai/acoustic-melyna-lukiskiu-kalejimas-20-487327/,https://store.bilietai.lt/public/?concert=487327&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
LUKA SULIC | LIFE TOUR 2026,LVSO koncertų salė,Vilnius,2026-03-07,18:00,https://www.bilietai.lt/eng/tickets/koncertai/luka-sulic--life-tour-2026-483301/,https://store.bilietai.lt/public/?concert=483301&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:02Z
