event_name,location,city,date,time,event_link
Festivalis „Klaipėdos muzikos pavasaris“ / Atidarymo koncertas,Klaipėdos koncertų salė,Klaipėda,2026-04-02,18:30 - 19:30,https://kulturosuostas.lt/renginiai-visi/festivalis-klaipedos-muzikos-pavasaris-atidarymo-koncertas/
De Falla ir ispaniškos zarzuelos / festivalis „Klaipėdos muzikos pavasaris“,Klaipėdos koncertų salė,Klaipėda,2026-04-10,18:30 - 20:00,https://kulturosuostas.lt/renginiai-visi/de-falla-ir-ispaniskos-zarzuelos-festivalis-klaipedos-muzikos-pavasaris/
Latvijos nacionalinis simfoninis orkestras / festivalis „Klaipėdos muzikos pavasaris“,Klaipėdos koncertų salė,Klaipėda,2026-04-11,18:30 - 20:00,https://kulturosuostas.lt/renginiai-visi/latvijos-nacionalinis-simfoninis-orkestras-festivalis-klaipedos-muzikos-pavasaris/
Edukacinė programa vaikams „Skambantys skaičiai” / festivalis „Klaipėdos muzikos pavasaris“,Klaipėdos koncertų salė,Klaipėda,2026-04-15,12:00 - 13:00,https://kulturosuostas.lt/renginiai-visi/edukacine-programa-vaikams-skambantys-skaiciai-festivalis-klaipedos-muzikos-pavasaris/
Lietuvos kamerinis orkestras ir smuiko virtuozas Sergej Krylov / festivalis „Klaipėdos muzikos pavasaris“,Klaipėdos koncertų salė,Klaipėda,2026-04-17,18:30 - 20:00,https://kulturosuostas.lt/renginiai-visi/lietuvos-kamerinis-orkestras-ir-smuiko-virtuozas-sergej-krylov-festivalis-klaipedos-muzikos-pavasaris/
Lietuvos kariuomenės orkestras sveikina Klaipėdą! / festivalis „Klaipėdos muzikos pavasaris“,Klaipėdos koncertų salė,Klaipėda,2026-04-18,18:30 - 19:30,https://kulturosuostas.lt/renginiai-visi/lietuvos-kariuomenes-orkestras-sveikina-klaipeda-festivalis-klaipedos-muzikos-pavasaris/
"Klaipėda švenčia Pēterio Vaskso 80-metį / festivalis ,,Klaipėdos muzikos pavasaris“",Klaipėdos Šv. Pranciškaus Asyžiečio koplyčia,Klaipėda,2026-04-19,15:00 - 16:00,https://kulturosuostas.lt/renginiai-visi/klaipeda-svencia-peterio-vaskso-80-meti-festivalis-klaipedos-muzikos-pavasaris/
Lenkų chorinės muzikos lobynas / festivalis „Klaipėdos muzikos pavasaris”,Klaipėdos koncertų salė,Klaipėda,2026-04-24,18:30 - 20:00,https://kulturosuostas.lt/renginiai-visi/lenku-chorines-muzikos-lobynas-festivalis-klaipedos-muzikos-pavasaris/
Festivalis „Klaipėdos muzikos pavasaris” / Festivalio uždarymo koncertas,Klaipėdos koncertų salė,Klaipėda,2026-04-25,18:30 - 20:00,https://kulturosuostas.lt/renginiai-visi/festivalis-klaipedos-muzikos-pavasaris-festivalio-uzdarymo-koncertas/
AITVARŲ FESTIVALIS,Neįgaliųjų paplūdimys,Klaipėda,2026-05-30,11:00 - 19:00,https://kulturosuostas.lt/renginiai-visi/aitvaru-festivalis/
JŪROS ŠVENTĖ,Įvairios Klaipėdos miesto erdvės,Klaipėda,2026-07-24,Visa diena,https://kulturosuostas.lt/renginiai-visi/juros-svente/
JŪROS ŠVENTĖ,Įvairios Klaipėdos miesto erdvės,Klaipėda,2026-07-25,Visa diena,https://kulturosuostas.lt/renginiai-visi/juros-svente/
JŪROS ŠVENTĖ,Įvairios Klaipėdos miesto erdvės,Klaipėda,2026-07-26,Visa diena,https://kulturosuostas.lt/renginiai-visi/juros-svente/
