event_name,location,city,date,event_link
Presentation of Juozas Statkevicius Collection,Litexpo,Vilnius,2016-11-20,https://www.litexpo.lt/en/events/presentation-of-juozas-statkevicius-collection/
LIVE2LEAD: Lietuva,Litexpo,Vilnius,2016-12-01,https://www.litexpo.lt/en/events/live2lead-lietuva/
Brand Out,Litexpo,Vilnius,2017-01-30,https://www.litexpo.lt/en/events/brand-out/
READY TO RUN with 4Active,Litexpo,Vilnius,2017-04-01,https://www.litexpo.lt/en/events/ready-to-run-with-4active/
Atea Action: D1G1T4£ DEM0CR4C¥,Litexpo,Vilnius,2017-09-28,https://www.litexpo.lt/en/events/atea-action-d1g1t4-dem0cr4c%c2%a5/
Lithuanian Gastronomy Forum,Litexpo,Vilnius,2017-11-15,https://www.litexpo.lt/en/events/lithuanian-gastronomy-forum/
LIVE2LEAD: LIETUVA 2017,Litexpo,Vilnius,2017-11-30,https://www.litexpo.lt/en/events/8487/
Vilnius Christmas Fair,Litexpo,Vilnius,2017-12-09,https://www.litexpo.lt/en/events/vilnius-christmas-fair/
ROBOTIADA 2018,Litexpo,Vilnius,2018-03-03,https://www.litexpo.lt/en/events/robotiada-2018/
SLO Electricity 2018,Litexpo,Vilnius,2018-05-11,https://www.litexpo.lt/en/events/slo-electricity-2018/
AUTO BAZAR 2018,Litexpo,Vilnius,2018-05-18,https://www.litexpo.lt/en/events/auto-bazar-2018/
#SWITCH!,Litexpo,Vilnius,2018-09-20,https://www.litexpo.lt/en/events/switch/
BIM and Beyond. Baltic Tour 2018,Litexpo,Vilnius,2018-09-21,https://www.litexpo.lt/en/events/bim-and-beyond-baltic-tour-2018/
The Grand Christmas fair of Vilnius 2018,Litexpo,Vilnius,2018-12-08,https://www.litexpo.lt/en/events/the-grand-christmas-fair-of-vilnius/
ROBOTIADA 2019,Litexpo,Vilnius,2019-03-23,https://www.litexpo.lt/en/events/robotiada-2019/
Inspiring women conference “Dare to Begin. One step ahead”,Litexpo,Vilnius,2019-03-30,https://www.litexpo.lt/en/events/inspiring-women-conference-dare-to-begin-one-step-ahead/
SMART MOM 2019,Litexpo,Vilnius,2019-05-11,https://www.litexpo.lt/en/events/smart-mom-2019/
Mono Slalomas #1 by TR,Litexpo,Vilnius,2019-07-06,https://www.litexpo.lt/en/events/mono-slalomas-1-by-tr/
Išteku.lt Wedding Fashion Show,Litexpo,Vilnius,2019-10-18,https://www.litexpo.lt/en/events/isteku-lt-wedding-fashion-show/
Wedding Fair Isteku.lt,Litexpo,Vilnius,2019-10-19,https://www.litexpo.lt/en/events/wedding-fair-isteku-lt/
Sustainable Development Conference SIGNALS 2019 “LET’S SEE. LET’S CHANGE”,Litexpo,Vilnius,2019-11-27,https://www.litexpo.lt/en/events/sustainable-development-conference-signals-2019-lets-see-lets-change/
LiMA DAY LIETUVA’19: Praeitis. Dabartis. Ateitis,Litexpo,Vilnius,2019-12-28,https://www.litexpo.lt/en/events/lima-day-lietuva19-praeitis-dabartis-ateitis/
Jazzu,Litexpo,Vilnius,2019-12-31,https://www.litexpo.lt/en/events/jazzu/
International Electrical Engineering Exhibition “SLO Electricity 2020”,Litexpo,Vilnius,2020-02-27,https://www.litexpo.lt/en/events/international-electrical-engineering-exhibition-slo-electricity-2020/
MOTERS VIZIJA 2020,Litexpo,Vilnius,2020-03-08,https://www.litexpo.lt/en/events/moters-vizija-2020/
A motivational conference for success GET INSPIRED 2020,Litexpo,Vilnius,2020-08-29,https://www.litexpo.lt/en/events/a-motivational-conference-for-success-get-inspired-2020/
Beactive night – Zumba party,Litexpo,Vilnius,2020-09-26,https://www.litexpo.lt/en/events/beactive-night-zumba-party/
Storyselling conference | RETURN ON STORIES ’21,Litexpo,Vilnius,2021-06-18,https://www.litexpo.lt/en/events/storyselling-conference-return-on-stories-21/
AŠ SODINU 2021,Litexpo,Vilnius,2021-09-11,https://www.litexpo.lt/en/events/as-sodinu-2021/
MAKING INDUSTRY 4.0 REAL,Litexpo,Vilnius,2021-09-23,https://www.litexpo.lt/en/events/making-industry-4-0-real/
Beissoul & Einius: Electrofashion 10,Litexpo,Vilnius,2021-12-30,https://www.litexpo.lt/en/events/beissoul-einius-electrofashion-10/
JAZZU,Litexpo,Vilnius,2021-12-31,https://www.litexpo.lt/en/events/jazzu_en/
SCHOOL 2022,Litexpo,Vilnius,2022-03-30,https://www.litexpo.lt/en/events/school-2021/
SCHOOL 2022,Litexpo,Vilnius,2022-03-31,https://www.litexpo.lt/en/events/school-2021/
MOTIVATED AT WORK 2022,Litexpo,Vilnius,2022-05-17,https://www.litexpo.lt/en/events/motivated-at-work-2022/
MOTIVATED AT WORK 2023,Litexpo,Vilnius,2022-05-17,https://www.litexpo.lt/en/events/motivated-at-work-2023/
NEET – IDEA FILM FESTIVAL,Litexpo,Vilnius,2022-07-14,https://www.litexpo.lt/en/events/neet-idea-film-festival/
AHK Oktoberfest Vilnius,Litexpo,Vilnius,2022-09-17,https://www.litexpo.lt/en/events/ahk-oktoberfest-vilnius/
ECOMEXPO’22,Litexpo,Vilnius,2022-09-29,https://www.litexpo.lt/en/events/ecomexpo22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-07,https://www.litexpo.lt/en/events/artvilnius22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-08,https://www.litexpo.lt/en/events/artvilnius22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-09,https://www.litexpo.lt/en/events/artvilnius22/
Christmas is back: eXpo 2021,Litexpo,Vilnius,2022-12-11,https://www.litexpo.lt/en/events/christmas-is-back-expo-2021/
GARDEN STYLE,Litexpo,Vilnius,2023-08-26,https://www.litexpo.lt/en/events/garden-style/
I want to change career. AGAIN.,Litexpo,Vilnius,2023-09-10,https://www.litexpo.lt/en/events/i-want-to-change-career-again/
LIFE SCIENCES BALTICS,Litexpo,Vilnius,2023-09-20,https://www.litexpo.lt/en/events/19806/
LIFE SCIENCES BALTICS,Litexpo,Vilnius,2023-09-21,https://www.litexpo.lt/en/events/19806/
TECH MUGĖ 2023,Litexpo,Vilnius,2023-09-23,https://www.litexpo.lt/en/events/tech-muge-2023/
Baltic E-commerce Conference & Expo,Litexpo,Vilnius,2023-10-05,https://www.litexpo.lt/en/events/baltic-e-commerce-conference-expo/
Agile Tour Vilnius 2023,Litexpo,Vilnius,2023-10-17,https://www.litexpo.lt/en/events/agile-tour-vilnius-2023/
