event_name,location,city,date,time,event_link
BKT EuroCup: Neptune – Hapoel Bank Yahav,Švyturio Arena,Klaipėda,2026-01-28,19:00,https://www.svyturioarena.lt/en/
KNAUF seminar,Švyturio Arena,Klaipėda,2026-01-29,11:00,https://www.svyturioarena.lt/en/Events/bkt-eurocup-neptunas-hapoel-bank-yahav/
"LKL: ""Neptūnas"" – ""Rytas""",Švyturio Arena,Klaipėda,2026-01-31,16:30,https://www.svyturioarena.lt/en/Events/Knauf-seminar/
Study Regatta 2026,Švyturio Arena,Klaipėda,2026-02-06,10:00,https://www.svyturioarena.lt/en/Events/lkl-neptune-morning/
"Fair ""The Great Redemption""",Švyturio Arena,Klaipėda,2026-02-07,10:00,https://www.svyturioarena.lt/en/Events/Study-Regatta-2026/
"""Sentiments"" flea market, antiques and collectibles fair",Švyturio Arena,Klaipėda,2026-02-07,10:00,https://www.svyturioarena.lt/en/Events/great-ransoms/
"MLKL: ""Neptūnas-Amberton"" - ""Vilnius Kibirkštis-TOKS""",Švyturio Arena,Klaipėda,2026-02-08,14:05,https://www.svyturioarena.lt/en/Events/sentiments-at-the-second-hand-antique-and-collectibles-fair/
BKT EuroCup: Neptune – Bahcesehir College,Švyturio Arena,Klaipėda,2026-02-11,19:00,https://www.svyturioarena.lt/en/Events/mlkl-neptune-amberton-vilnius-spark-so/
Sandra,Švyturio Arena,Klaipėda,2026-02-15,18:00,https://www.svyturioarena.lt/en/Events/bkt-eurocup-neptunas-bahcesehir-college/
"Sakartveli National Ballet ""Sukhishvili""",Švyturio Arena,Klaipėda,2026-02-20,19:00,https://www.svyturioarena.lt/en/Events/sandra/
Samogitians (Sold out),Švyturio Arena,Klaipėda,2026-02-21,19:00,https://www.svyturioarena.lt/en/Events/Georgian-National-Ballet-Sukhishvili/
Jazz + 100,Švyturio Arena,Klaipėda,2026-02-27,20:00,https://www.svyturioarena.lt/en/Events/small-children/
"Inga Valinskienė's concert tour ""Always Yours""",Švyturio Arena,Klaipėda,2026-02-28,20:00,https://www.svyturioarena.lt/en/Events/jazz-100/
FIBA World Cup Qualifiers: Lithuania-Iceland,Švyturio Arena,Klaipėda,2026-03-02,18:30,https://www.svyturioarena.lt/en/Events/Inga-Valinskiene%27s-concert-tour-is-always-yours/
Dynamics,Švyturio Arena,Klaipėda,2026-03-06,20:00,https://www.svyturioarena.lt/en/Events/selection-for-the-world-basketball-championship-lithuania-iceland/
"Golden Hits Festival ""Amber Klaipėda""",Švyturio Arena,Klaipėda,2026-03-13,19:00,https://www.svyturioarena.lt/en/Events/dynamics/
"Victoria and ""Stained Glass""",Švyturio Arena,Klaipėda,2026-03-14,19:00,https://www.svyturioarena.lt/en/Events/Golden-Hits-Festival-in-Amber-Klaipeda/
"Fair ""Style and Taste""",Švyturio Arena,Klaipėda,2026-03-15,10:00,https://www.svyturioarena.lt/en/Events/Victoria-and-stained-glass/
Maxim Galkin – anniversary tour,Švyturio Arena,Klaipėda,2026-03-20,19:00,https://www.svyturioarena.lt/en/Events/fair-style-and-taste/
"Andrius Mamontovas ""Only Hits""",Švyturio Arena,Klaipėda,2026-03-27,20:00,https://www.svyturioarena.lt/en/Events/Maxim-Galkin-anniversary-tour/
"LKL: ""Neptūnas"" - ""Lietkabelis""",Švyturio Arena,Klaipėda,2026-03-28,16:30,https://www.svyturioarena.lt/en/Events/andrius-mamontovas-only-hits/
LKL: Neptūnas – Juventus,Švyturio Arena,Klaipėda,2026-04-06,18:30,https://www.svyturioarena.lt/en/Events/Lkl-Neptune-Siauliai-2/
"LKL: ""Neptūnas"" – ""Nevezis""",Švyturio Arena,Klaipėda,2026-04-11,19:00,https://www.svyturioarena.lt/en/Events/Lkl-Neptune-Juventus-2/
Ennio Morricone by Lords of the Sound,Švyturio Arena,Klaipėda,2026-04-15,19:00,https://www.svyturioarena.lt/en/Events/lkl-neptunes-will-not-be-lucky-2/
"LKL: ""Neptūnas"" – ""Šiauliai""",Švyturio Arena,Klaipėda,2026-04-19,19:00,https://www.svyturioarena.lt/en/Events/ennio-morricone-by-lords-of-the-sound/
"LKL: ""Neptūnas"" – ""Gargždai""",Švyturio Arena,Klaipėda,2026-04-29,18:30,https://www.svyturioarena.lt/en/Events/Lkl-Neptune-Siauliai-3/
"LKL: ""Neptūnas"" – ""Rytas""",Švyturio Arena,Klaipėda,2026-05-10,17:00,https://www.svyturioarena.lt/en/Events/lkl-neptunas-gargzadai/
LKL: Neptūnas – Zalgiris,Švyturio Arena,Klaipėda,2026-05-14,18:30,https://www.svyturioarena.lt/en/Events/lkl-neptune-morning-2/
"LKL: ""Neptūnas"" – ""Jonava""",Švyturio Arena,Klaipėda,2026-05-17,19:00,https://www.svyturioarena.lt/en/Events/Lkl-Neptunas-Zalgiris/
